logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,Road EdgeèÓïÒêî,ëŒè€ÇÃRoad Edge ID
83089,0x18710,False,255,2443545,2458538,15,2,861149.0
83089,0x18710,False,255,2443545,2458538,15,2,4295828445.0
85101,0x1872a,False,362,1139280,1154273,15,2,861149.0
85101,0x1872a,False,362,1139280,1154273,15,2,4295828445.0
134259,0x187a2,False,255,2458538,2463216,15,2,861188.0
134259,0x187a2,False,255,2458538,2463216,15,2,4295828484.0
136294,0x187c0,False,362,1154273,1158951,15,2,861188.0
136294,0x187c0,False,362,1154273,1158951,15,2,4295828484.0
155453,0x187de,False,255,2463216,2474835,31,2,860962.0
155453,0x187de,False,255,2463216,2474835,31,2,4295828258.0
155594,0x187e9,False,386,0,4394,1,2,3180930.0
155594,0x187e9,False,386,0,4394,1,2,4298148226.0
155680,0x187f3,False,386,4394,10882,1,2,3180928.0
155680,0x187f3,False,386,4394,10882,1,2,4298148224.0
155920,0x187fd,False,386,10882,19872,1,2,3180924.0
155920,0x187fd,False,386,10882,19872,1,2,4298148220.0
156133,0x18807,False,386,19872,31048,1,2,3180946.0
156133,0x18807,False,386,19872,31048,1,2,4298148242.0
156141,0x18811,False,386,31048,31747,1,2,2375485.0
156141,0x18811,False,386,31048,31747,1,2,4297342781.0
156151,0x1881b,False,386,31747,32148,1,2,2375484.0
156151,0x1881b,False,386,31747,32148,1,2,4297342780.0
156274,0x18825,False,386,32148,33744,1,2,2375483.0
156274,0x18825,False,386,32148,33744,1,2,4297342779.0
158109,0x18855,False,362,1158951,1170570,31,2,860962.0
158109,0x18855,False,362,1158951,1170570,31,2,4295828258.0
158125,0x18860,False,387,0,4394,1,2,3180930.0
158125,0x18860,False,387,0,4394,1,2,4298148226.0
158240,0x1886a,False,387,4394,10882,1,2,3180928.0
158240,0x1886a,False,387,4394,10882,1,2,4298148224.0
158333,0x18874,False,387,10882,19872,1,2,3180924.0
158333,0x18874,False,387,10882,19872,1,2,4298148220.0
158466,0x1887e,False,387,19872,31048,1,2,3180946.0
158466,0x1887e,False,387,19872,31048,1,2,4298148242.0
158493,0x18888,False,387,31048,31747,1,2,2375485.0
158493,0x18888,False,387,31048,31747,1,2,4297342781.0
158503,0x18892,False,387,31747,32148,1,2,2375484.0
158503,0x18892,False,387,31747,32148,1,2,4297342780.0
158588,0x1889c,False,387,32148,33744,1,2,2375483.0
158588,0x1889c,False,387,32148,33744,1,2,4297342779.0
185634,0x188e8,False,255,2474835,2480037,31,2,861001.0
185634,0x188e8,False,255,2474835,2480037,31,2,4295828297.0
197982,0x18928,False,362,1170570,1175772,31,2,861001.0
197982,0x18928,False,362,1170570,1175772,31,2,4295828297.0
206434,0x18934,False,255,2480037,2483439,15,2,860994.0
206434,0x18934,False,255,2480037,2483439,15,2,4295828290.0
208162,0x1894e,False,362,1175772,1179174,15,2,860994.0
208162,0x1894e,False,362,1175772,1179174,15,2,4295828290.0
216412,0x1895a,False,255,2483439,2488552,15,2,861029.0
216412,0x1895a,False,255,2483439,2488552,15,2,4295828325.0
218552,0x18974,False,362,1179174,1184287,15,2,861029.0
218552,0x18974,False,362,1179174,1184287,15,2,4295828325.0
236882,0x18992,False,255,2488552,2494876,15,2,861076.0
236882,0x18992,False,255,2488552,2494876,15,2,4295828372.0
238964,0x189ac,False,362,1184287,1190611,15,2,861076.0
